close time,22/07 13:24,21/07 13:36,21/07 07:06,20/07 14:41,24/07 22:21,22/07 20:54,22/07 15:15,21/07 16:43,,24/07 02:44,22/07 20:54,21/07 05:06,20/07 14:04,24/07 13:45,22/07 13:56,,21/07 21:02,21/07 02:16,20/07 17:25,20/07 13:25,23/07 18:36,23/07 09:21,22/07 13:36,21/07 13:02,20/07 15:02,
Profit,$23.40,$8.55,$12.48,-$5.25,-$20.80,$78.20,-$40.80,-$0.08,,$50.80,$61.44,$91.30,$12.30,$204.00,-$51.93,,-$27.30,-$58.10,$2.68,$236.90,$10.48,$11.16,$6.37,$5.44,$32.80,
-,gold,us30cash,us100cash,btcusd,gold,gold,gold,gold,,gold,gold,gold,gold,us100cash,gold,,gold,gold,gold,,gold,us500cash,gold,gold,gold,
Symbol,GOLD,US30Cash,US100Cash,BTCUSD,GOLD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,GOLD,US100Cash,GOLD,,GOLD,GOLD,GOLD,,GOLD,US500Cash,GOLD,GOLD,GOLD,
Type,BUY,SELL,BUY,BUY,BUY,SELL,BUY,BUY,,SELL,SELL,BUY,BUY,SELL,SELL,,SELL,SELL,SELL,,SELL,BUY,BUY,SELL,SELL,
Asset Type,Precious Metals,Indices,Indices,Crypto,Precious Metals,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Indices,Precious Metals,Precious Metals,Precious Metals,
Volume,0.3,0.9,0.9,0.5,0.06,0.2,0.08,0.07,,0.1,0.08,0.13,0.13,0.2,0.02,,0.1,0.1,0.01,,0.09,46055,0.1,0.01,0.01,
Open price,"4,126.62","51,980.37","28,895.66","64,726.35","4,052.98","4,138.95","4,155.77","4,008.95",,"4,048.97","4,137.56","4,022.84","4,022.45","28,457.88","4,117.07",,"4,084.22","4,024.24","4,014.72",,"4,050.77","7,474.05","4,122.52","4,057.95","4,009.83",
close price,"4,127.10","51,976.87","28,920.54","64,550.85","4,052.37","4,141.72","4,156.09","4,008.15",,"4,040.50","4,129.42","4,034.95","4,029.35","28,506.63","4,122.37",,"4,086.31","4,031.58","4,011.84",,"4,049.00","7,477.80","4,113.17","4,057.06","4,009.16",
open time,22/07 13:15,21/07 13:16,21/07 06:46,20/07 13:47,24/07 21:56,22/07 18:41,22/07 15:07,20/07 20:24,,24/07 01:49,22/07 19:03,21/07 01:46,20/07 12:30,23/07 23:19,22/07 07:33,,21/07 19:29,21/07 01:56,20/07 16:24,,23/07 16:10,23/07 09:09,22/07 10:20,21/07 12:19,20/07 13:41,
close time,22/07 13:18,21/07 13:36,21/07 07:00,20/07 14:26,24/07 23:59,22/07 18:45,22/07 15:07,20/07 20:24,,24/07 02:04,22/07 20:54,21/07 03:36,20/07 12:30,23/07 23:39,22/07 12:18,,21/07 21:02,21/07 02:16,20/07 17:25,,23/07 16:28,23/07 09:19,22/07 10:53,21/07 12:21,20/07 13:58,
Profit,$14.40,$3.15,$22.39,-$87.75,-$3.66,-$55.40,$2.56,-$5.60,,$84.70,$65.12,$157.43,$89.70,-$9.75,-$10.60,,-$20.90,-$73.40,$2.88,,$15.93,$8.25,-$93.50,$0.89,$0.67,
-,gold,us30cash,us100cash,eurusd,gold,gold,gold,gold,,gold,gold,gold,gold,us100cash,gold,,gold,gold,gold,,us100cash,gold,gold,gold,us100cash,
Symbol,GOLD,US30Cash,US100Cash,EURUSD,GOLD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,GOLD,US100Cash,GOLD,,GOLD,GOLD,GOLD,,US100Cash,GOLD,GOLD,GOLD,US100Cash,
Type,SELL,BUY,BUY,SELL,BUY,SELL,BUY,SELL,,BUY,BUY,BUY,BUY,SELL,BUY,,SELL,SELL,SELL,,SELL,BUY,BUY,SELL,BUY,
Asset Type,Precious Metals,Indices,Indices,Forex,Precious Metals,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,,Indices,Precious Metals,Precious Metals,Precious Metals,Indices,
Volume,0.3,0.9,0.9,0.3,0.1,0.01,0.08,0.12,,0.1,0.07,0.02,0.06,0.1,0.03,,0.1,0.1,0.01,,0.9,0.1,0.07,0.09,46023,
Open price,"4,112.10","52,017.62","28,894.79",1.14294,"4,054.20","4,141.86","4,156.18","4,007.08",,"4,049.71","4,154.41","4,022.40","4,022.92","28,459.43","4,083.12",,"4,073.17","4,023.72","4,014.53",,"28,406.68","4,130.28","4,119.03","4,061.39","28,882.68",
close price,"4,111.25","51,984.87","28,920.54",1.14337,"4,055.12","4,141.84","4,155.44","4,006.68",,"4,049.72","4,154.57","4,018.17","4,030.03","28,551.43","4,082.70",,"4,079.97","4,031.58","4,011.84",,"28,350.18","4,130.87","4,120.26","4,059.11","28,879.56",
open time,22/07 08:45,21/07 13:14,21/07 06:46,20/07 12:16,24/07 21:00,22/07 18:38,22/07 15:05,20/07 18:47,,24/07 01:39,22/07 16:03,21/07 01:41,20/07 11:23,23/07 17:52,21/07 19:25,,21/07 19:19,21/07 01:55,20/07 16:24,,23/07 15:54,23/07 00:50,22/07 09:31,21/07 10:42,20/07 12:31,
close time,22/07 08:46,21/07 13:15,21/07 07:00,20/07 12:26,24/07 21:02,22/07 18:45,22/07 15:05,20/07 19:00,,24/07 01:48,22/07 16:17,21/07 02:00,20/07 12:30,23/07 21:11,21/07 21:22,,21/07 19:24,21/07 02:16,20/07 17:25,,23/07 16:11,23/07 01:36,22/07 10:02,21/07 12:12,20/07 12:31,
